	finished	start_time	finish_time	comment	ID	cont_url	line1_url	line2_url	out_url
74	True	04:54 Fri 21/04	09:39 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970386160	./Data/real_data/74-B-2970386160/cont.dat	./Data/real_data/74-B-2970386160/MGII.dat	./Data/real_data/74-B-2970386160/CIV.dat	./Data/real_data/74-B-2970386160/
75	True	05:13 Fri 21/04	11:05 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970400768	./Data/real_data/75-B-2970400768/cont.dat	./Data/real_data/75-B-2970400768/MGII.dat	./Data/real_data/75-B-2970400768/CIV.dat	./Data/real_data/75-B-2970400768/
76	True	06:33 Fri 21/04	11:26 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970414144	./Data/real_data/76-B-2970414144/cont.dat	./Data/real_data/76-B-2970414144/MGII.dat	./Data/real_data/76-B-2970414144/CIV.dat	./Data/real_data/76-B-2970414144/
77	False	07:05 Fri 21/04	               	Job started /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970460831	./Data/real_data/77-B-2970460831/cont.dat	./Data/real_data/77-B-2970460831/MGII.dat	./Data/real_data/77-B-2970460831/CIV.dat	./Data/real_data/77-B-2970460831/
78	True	07:22 Fri 21/04	10:59 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970569124	./Data/real_data/78-B-2970569124/cont.dat	./Data/real_data/78-B-2970569124/MGII.dat	./Data/real_data/78-B-2970569124/CIV.dat	./Data/real_data/78-B-2970569124/
79	True	07:36 Fri 21/04	10:01 Fri 21/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970604169	./Data/real_data/79-A-2970604169/cont.dat	./Data/real_data/79-A-2970604169/Hbeta.dat	./Data/real_data/79-A-2970604169/MGII.dat	./Data/real_data/79-A-2970604169/
80	False	08:47 Fri 21/04	               	Job started /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970611652	./Data/real_data/80-B-2970611652/cont.dat	./Data/real_data/80-B-2970611652/MGII.dat	./Data/real_data/80-B-2970611652/CIV.dat	./Data/real_data/80-B-2970611652/
81	False	09:21 Fri 21/04	               	Job started /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970744291	./Data/real_data/81-B-2970744291/cont.dat	./Data/real_data/81-B-2970744291/MGII.dat	./Data/real_data/81-B-2970744291/CIV.dat	./Data/real_data/81-B-2970744291/
82	False	09:39 Fri 21/04	               	Job started /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970786038	./Data/real_data/82-B-2970786038/cont.dat	./Data/real_data/82-B-2970786038/MGII.dat	./Data/real_data/82-B-2970786038/CIV.dat	./Data/real_data/82-B-2970786038/
83	False	09:42 Fri 21/04	               	Job started /w 600 chains, 200 samples, 1000 burn in and 1 cores	2970791376	./Data/real_data/83-B-2970791376/cont.dat	./Data/real_data/83-B-2970791376/MGII.dat	./Data/real_data/83-B-2970791376/CIV.dat	./Data/real_data/83-B-2970791376/
